,OPEN,CLOSE,VOLUME,ADJFACTOR,DIV_CAPITALIZATION,DIV_STOCK
20200728,46.0,45.73,19991167.0,28.880578,,
20200729,45.42,46.14,22063681.0,28.880578,,
20200730,46.13,45.32,23411641.0,28.880578,,
20200731,45.39,45.3,25357262.0,28.880578,,
20200803,45.45,46.84,35895758.0,28.880578,,
20200804,46.84,47.7,31813168.0,28.880578,,
20200805,47.7,47.45,20210378.0,28.880578,,
20200806,47.45,46.92,19567690.0,28.880578,,
20200807,46.92,45.87,24751208.0,28.880578,,
20200810,46.0,46.35,15811557.0,28.880578,,
20200811,46.26,46.15,25287690.0,28.880578,,
20200812,46.2,45.9,22788631.0,28.880578,,
20200813,46.15,44.4,19952662.0,28.880578,,
20200814,44.41,44.95,23662460.0,28.880578,,
20200817,44.98,45.56,17197391.0,28.880578,,
20200818,45.4,45.43,11324456.0,28.880578,,
20200819,45.43,44.5,13079949.0,28.880578,,
20200820,44.51,44.17,12020926.0,28.880578,,
20200821,44.44,45.3,14768684.0,28.880578,,
20200824,45.69,46.2,19337277.0,28.880578,,
20200825,46.19,46.35,14307832.999999998,28.880578,,
20200826,47.31,49.98,65372824.0,28.880578,,
20200827,50.22,50.51,27172814.0,28.880578,,
20200828,50.5,51.23,25841658.0,28.880578,,
20200831,51.52,51.97,29534858.0,28.880578,,
20200901,51.72,53.73,28652602.0,28.880578,,
20200902,53.73,53.43,22737050.0,28.880578,,
20200903,53.18,53.65,32773076.0,28.880578,,
20200904,52.53,52.5,32969675.0,28.880578,,
20200907,52.69,51.03,27279059.000000004,28.880578,,
20200908,51.11,50.62,17757568.0,28.880578,,
20200909,50.51,49.02,24939198.0,28.880578,,
20200910,49.63,49.02,18872184.0,28.880578,,
20200911,49.13,49.85,17965859.0,28.880578,,
20200914,50.03,49.66,19324016.0,28.880578,,
20200915,49.5,49.78,17852284.0,28.880578,,
20200916,49.66,48.67,17122206.0,28.880578,,
20200917,48.6,47.6,17629836.0,28.880578,,
20200918,47.6,47.7,16269034.0,28.880578,,
20200921,47.7,47.16,16501897.0,28.880578,,
20200922,46.96,46.84,15647144.0,28.880578,,
20200923,46.99,48.53,33630992.0,28.880578,,
20200924,48.0,47.3,17253039.0,28.880578,,
20200925,47.38,48.07,16078715.0,28.880578,,
20200928,48.1,48.64,19951972.0,28.880578,,
20200929,48.7,49.53,16792470.0,28.880578,,
20200930,49.6,51.42,25843553.0,28.880578,,
20201009,51.82,53.19,21407230.0,28.880578,,
20201012,53.19,57.2,28855814.0,28.880578,,
20201013,57.1,58.05,20149253.0,28.880578,,
20201014,58.0,57.76,17696267.0,28.880578,,
20201015,57.78,57.26,16302879.0,28.880578,,
20201016,57.26,57.08,13554520.000000002,28.880578,,
20201019,57.67,56.21,14760222.0,28.880578,,
20201020,56.32,57.38,11880914.0,28.880578,,
20201021,57.46,58.18,15609872.0,28.880578,,
20201022,57.66,58.5,11843295.0,28.880578,,
20201023,58.42,57.19,13242144.0,28.880578,,
20201026,56.72,56.8,12084135.0,28.880578,,
20201027,58.98,61.46,34033939.0,28.880578,,
20201028,62.01,62.89,23577531.0,28.880578,,
20201029,62.07,62.4,14998826.0,28.880578,,
20201030,63.01,62.26,17196142.0,28.880578,,
20201102,62.61,64.19,22663979.0,28.880578,,
20201103,64.0,64.7,16650149.0,28.880578,,
20201104,64.55,67.5,18406544.0,28.880578,,
20201105,67.12,67.01,22022495.0,28.880578,,
20201106,66.55,65.68,23423184.0,28.880578,,
20201109,66.01,68.67,21297734.0,28.880578,,
20201110,68.6,69.31,18769093.0,28.880578,,
20201111,69.25,68.07,21337029.0,28.880578,,
20201112,68.4,69.71,16036707.999999998,28.880578,,
20201113,69.3,68.85,12180542.0,28.880578,,
20201116,69.69,69.09,12334110.0,28.880578,,
20201117,69.48,66.0,30176643.0,28.880578,,
20201118,66.59,62.5,41176910.0,28.880578,,
20201119,62.0,62.53,26958155.0,28.880578,,
20201120,63.1,64.45,21829895.0,28.880578,,
20201123,64.45,64.57,14550446.0,28.880578,,
20201124,64.0,63.63,18590149.0,28.880578,,
20201125,63.47,62.06,15590068.0,28.880578,,
20201126,62.63,62.06,15982569.0,28.880578,,
20201127,62.01,62.62,10086433.0,28.880578,,
20201130,62.66,61.2,20502465.0,28.880578,,
20201201,62.01,65.28,25912519.0,28.880578,,
20201202,65.2,64.05,16505501.0,28.880578,,
20201203,64.17,66.59,29121965.000000004,28.880578,,
20201204,66.17,67.01,21459854.0,28.880578,,
20201207,66.9,66.8,16038256.0,28.880578,,
20201208,67.09,66.63,11668662.0,28.880578,,
20201209,66.64,66.0,14559165.0,28.880578,,
20201210,66.21,68.45,21240643.0,28.880578,,
20201211,68.88,67.29,24579770.0,28.880578,,
20201214,67.01,68.85,17105479.0,28.880578,,
20201215,68.95,68.9,19277571.0,28.880578,,
20201216,69.0,69.81,14430541.0,28.880578,,
20201217,69.93,70.66,19237464.0,28.880578,,
20201218,70.82,69.5,23907730.0,28.880578,,
20201221,69.61,69.44,24516776.0,28.880578,,
20201222,69.0,68.9,30545637.0,28.880578,,
20201223,69.69,70.23,23933713.0,28.880578,,
20201224,70.09,72.7,21155162.0,28.880578,,
20201225,72.98,72.8,14530424.0,28.880578,,
20201228,72.98,72.03,14850317.000000002,28.880578,,
20201229,71.5,71.46,14909404.0,28.880578,,
20201230,71.2,73.85,20504999.0,28.880578,,
20201231,73.85,74.89,21238820.0,28.880578,0.2965786,0.0
20210104,71.0,68.22,160983448.0,28.880578,,
20210105,67.51,69.06,81947678.0,28.880578,,
20210106,69.05,71.49,54441290.0,28.880578,,
20210107,71.12,77.4,60444711.0,28.880578,,
20210108,77.5,75.93,55438694.99999999,28.880578,,
20210111,74.49,72.07,45089901.0,28.880578,,
20210112,71.45,72.52,40748944.0,28.880578,,
20210113,73.24,71.6,26970500.0,28.880578,,
20210114,70.7,71.39,28117614.0,28.880578,,
20210115,70.49,71.71,23897889.0,28.880578,,
20210118,71.4,71.81,18780818.0,28.880578,,
20210119,71.8,70.6,29793778.999999996,28.880578,,
20210120,70.7,75.4,51163078.0,28.880578,,
20210121,74.81,75.49,28318287.0,28.880578,,
20210122,75.08,80.7,41534277.0,28.880578,,
20210125,80.12,81.76,32130564.0,28.880578,,
20210126,81.01,79.89,26380500.0,28.880578,,
20210127,80.06,82.37,28169117.0,28.880578,,
20210128,80.58,78.91,25299189.0,28.880578,,
20210129,80.2,78.73,22801555.0,28.880578,,
20210201,78.91,79.2,25348278.0,28.880578,,
20210202,80.0,80.3,25919467.0,28.880578,,
20210203,80.0,79.2,25259998.0,28.880578,,
20210204,78.04,78.54,22534067.0,28.880578,,
20210205,79.5,82.18,37134693.0,28.880578,,
20210208,82.3,85.99,28632556.0,28.880578,,
20210209,85.52,85.14,32999881.0,28.880578,,
20210210,85.77,91.1,34550800.0,28.880578,,
20210218,92.59,88.04,28920345.0,28.880578,,
20210219,88.1,88.89,25423870.0,28.880578,,
20210222,88.6,82.3,36839967.0,28.880578,,
20210223,81.0,81.38,26152169.0,28.880578,,
20210224,80.55,74.79,54173713.0,28.880578,,
20210225,75.55,76.77,37620033.0,28.880578,,
20210226,74.49,72.28,42121555.0,28.880578,,
20210301,72.51,69.45,64701615.0,28.880578,,
20210302,70.61,68.28,52728365.0,28.880578,,
20210303,67.54,68.83,29637887.0,28.880578,,
20210304,68.0,63.79,54081471.0,28.880578,,
20210305,62.12,62.8,44491620.0,28.880578,,
20210308,63.59,56.97,66902865.0,28.880578,,
20210309,56.42,54.23,66718926.0,28.880578,,
20210310,56.2,57.2,69617086.0,28.880578,,
20210311,57.21,60.72,61008154.0,28.880578,,
20210312,61.49,61.82,42881219.0,28.880578,,
20210315,60.94,58.0,48243368.0,28.880578,,
20210316,58.97,58.68,40498548.0,28.880578,,
20210317,58.25,58.1,38752474.0,28.880578,,
20210318,58.7,60.25,39171127.0,28.880578,,
20210319,58.5,56.97,46433176.0,28.880578,,
20210322,57.38,57.16,25557052.0,28.880578,,
20210323,57.17,58.11,27143955.0,28.880578,,
20210324,57.56,59.72,41234692.0,28.880578,,
20210325,58.8,60.39,28158617.0,28.880578,,
20210326,61.2,62.05,37002016.0,28.880578,,
20210329,61.1,60.05,42620866.0,28.880578,,
20210330,60.0,60.77,38121610.0,28.880578,,
20210331,60.2,59.25,28488986.0,28.880578,,
20210401,59.49,63.0,36671881.0,28.880578,,
20210402,63.12,64.51,33053199.0,28.880578,,
